N,a,b,c,d,e,f,g,h,i
1,1,2,3,4,5,6,7,8,9
2,10,11,12,13,14,15,16,17,18
3,19,20,21,22,23,24,25,26,27
4,1,2,3,4,5,6,7,8,9
5,10,11,12,13,14,15,16,17,18
6,19,20,21,22,23,24,25,26,27
7,1,2,3,4,5,6,7,8,9
8,10,11,12,13,14,15,16,17,18
9,19,20,21,22,23,24,25,26,27
10,1,2,3,4,5,6,7,8,9
11,10,11,12,13,14,15,16,17,18
12,19,20,21,22,23,24,25,26,27
13,1,2,3,4,5,6,7,8,9
14,10,11,12,13,14,15,16,17,18
15,19,20,21,22,23,24,25,26,27
16,1,2,3,4,5,6,7,8,9
17,10,11,12,13,14,15,16,17,18
18,19,20,21,22,23,24,25,26,27
19,1,2,3,4,5,6,7,8,9
20,10,11,12,13,14,15,16,17,18
